"","GoodID","COO","Rating","No_of_reviews","RecentSoldnum","Price","Variety","Reserve","Protected_indicator_of_origin","Alcohol_Content","Body","RatingNo_of_reviews"
"197","5166781","澳大利亚(Australia)",1,6,95,738,"cabernet",1,1,14.5,"重",6
"205","5166984","阿根廷(Argentina)",0.8,274,11414,236,"malbec",0,1,14,"中",219.2
"206","5167843","德国(Germany)",1,221,5468,120,"riesling",1,1,10,"中",221
"207","5167844","德国(Germany)",0.9,266,6270,120,"riesling",0,1,10,"中",239.4
"208","5167907","法国(France)",0.8,190,3994,469,"merlot",0,1,13.5,"中高",152
"212","5168901","智利(Chile)",1,19,621,638,"syrah",1,1,15,"中高",19
"214","5168923","智利(Chile)",0.8,2,5127,99,"muscat",1,1,13,"中高",1.6
"215","5169076","法国(France)",0.9,12,266,768,"cabernet",0,1,13,"中高",10.8
"219","5169532","阿根廷(Argentina)",0.8,1,29028,69,"malbec",1,1,13.1,"中高",0.8
"230","5171861","智利(Chile)",0.9,721,175161,59,"cabernet",0,1,13,"中高",648.9
"232","5171880","澳大利亚(Australia)",1,0,18,196,"syrah",1,0,13.5,"中高",0
"233","5171885","意大利(Italy)",0.9,70,5208,88,"muscat",0,1,7.5,"轻",63
"236","5171905","澳大利亚(Australia)",0.8,6,248,89,"merlot",1,0,12.9,"中高",4.8
"238","5171908","澳大利亚(Australia)",0.9,8,265,89,"cabernet",1,0,13.5,"重",7.2
"239","5172178","希腊(Greece)",1,16,177,138,"muscat",0,1,15,"中低",16
"251","5172896","德国(Germany)",0.9,234,4480,120,"riesling",1,1,10,"中",210.6
"252","5172899","德国(Germany)",0.9,165,5551,120,"riesling",1,1,10,"中",148.5
"253","5172985","智利(Chile)",1,31,1162,398,"cabernet",1,1,14,"中高",31
"254","5173202","阿根廷(Argentina)",0.9,2,103,708,"merlot",1,1,14,"中",1.8
"256","5173321","法国(France)",0.8,1,17,198,"cabernet",1,1,13,"中低",0.8
"259","5174105","南非(South",1,0,40,148,"merlot",1,1,13.5,"中高",0
"260","5174335","智利(Chile)",0.8,61,1123,325,"sauvignon",0,1,13,"中低",48.8
"268","5174817","智利(Chile)",1,0,13949,58,"cabernet",1,1,13,"中高",0
"272","5175212","西班牙(Spain)",1,28,16673,138,"grenache",0,1,11,"中",28
"277","5175626","美国(USA)",0.9,57,499,159,"muscat",0,1,10,"中低",51.3
"279","5175896","巴西(Brazil)",1,1,8,458,"merlot",1,1,14,"中高",1
"283","5176806","西班牙(Spain)",0.6,1,38,768,"pinot",1,1,14,"中高",0.6
