"","Soldnum","Price","Alcohol_Content","Reserve","COO","Variety","Body","Protected_indicator_of_origin","Rating","No_of_reviews"
"41","6","98","14.5","0000","智利(Chile) 中央山谷(Central Valley)","60%佳美娜(Carmenere)、40%赤霞珠(Cabernet Sauvignon)","重","智利优质酒庄","80","291"
"42","-1","138","12","0000","智利(Chile) 中央山谷(Central Valley)","100%琼瑶浆(Gewurztraminer)","中高","  ","90","325"
"43","6","49","12","0000","法国(France) 波尔多(Bordeaux)","60%赤霞珠(Cabernet Sauvignon)40%梅洛(Merlot)","中高","日常餐酒V.D.T","80","245"
"44","18","49","13","0000","法国(France) 朗格多克鲁西荣(Languedoc Roussillon)","100%赤霞珠(Cabernet Sauvignon)","中高","奥克法定地区餐酒I.G.P","100","323"
"45","23","49","13","0000","法国(France) 朗格多克鲁西荣(Languedoc Roussillon)","100%梅洛(Merlot)","中高","奥克法定地区餐酒I.G.P","100","429"
"46","1","229","12","0000","法国(France) 波尔多(Bordeaux)","60%赤霞珠(Cabernet Sauvignon)40%梅洛(Merlot)","中高","日常餐酒V.D.T","90","105"
"47","3","159","14.5","0000","智利(Chile) 中央山谷(Central Valley)","90%美乐(Merlot)、10%卡门尼雅(Carmenere)","重","  ","100","89"
"48","9","159","14.5","0000","智利(Chile) 中央山谷(Central Valley)","90%赤霞珠(Cabernet Sauvignon) 10%美乐(Merlot)","重","  ","100","228"
"49","4","159","14.5","0000","智利(Chile) 中央山谷(Central Valley)","90%西拉(syrah)、7%赤霞珠(Cabernet Sauvignon)、3%维欧尼(Viognier)","重","  ","90","236"
"50","0","159","14.5","0000","智利(Chile) 中央山谷(Central Valley)","100%莎当妮(Chardonnay)","中高","  ","100","200"
"51","3","72","14.5","0000","智利(Chile) 中央山谷(Central Valley)","莎当妮(Chardonnay)","中高","  ","80","122"
"52","16","72","13.5","0000","智利(Chile) 中央山谷(Central Valley)","85%赤霞珠(Cabernet Sauvignon)、15%美乐(Merlot)","中高","智利优质酒庄","100","701"
"53","0","130","11.5","0000","德国(Germany) 莱茵黑森(Rheinhessen)","100%奥图歌(Ortega)","中高","德国特定产区（果粒精选）优质酒 Q.M.P(Beerenauslese)","100","426"
"54","0","59","13.5","0000","法国(France) 波尔多(Bordeaux)","40%梅洛(Merlot)25%品丽珠(Cabernet Franc)35%赤霞珠(Cabernet Sauvignon)","  ","波尔多法定产区A.O.C(Bordeaux A.O.C)","80","363"
"55","0","198","12.5","0000","法国(France) 薄若莱(Beaujolais)","100%佳美(Gamay)","中","薄若莱村庄级 A.O.C","80","51"
"56","0","159","12.5","0000","美国(USA) 加州(California)","100%赤霞珠(Cabernet Sauvignon)","中","  ","80","10"
"57","0","298","12","0000","法国(France) 朗格多克鲁西荣(Languedoc Roussillon)","梅洛(Merlot)赤霞珠(Cabernet Sauvignon)","中","欧盟餐酒(VDCE)","90","33"
