"","Soldnum","Price","Alcohol_Content","Reserve","COO","Variety","Body","Protected_indicator_of_origin","Rating","No_of_reviews"
"170","0","88","12.5","  ","意大利(Italy) 伦巴蒂(Lombardy)","40%美乐(Merlot),40%萨兰托(Salento),20%赤霞珠(Cabernet Sauvignon)","中高","VDT","90","16"
"171","0","99","14","0000","西班牙(Spain) 穆尔西亚(Murcia)","85%慕尔韦度(Monastrell)、15%丹魄(Tempranillo)","中","Bullas D.O.P","80","308"
"172",NA,NA,"13","2010","法国(France) 波尔多(Bordeaux)","赤霞珠(Cabernet Sauvignon)、梅洛(Merlot)、品丽珠(Cabernet Franc)、小维多(Petit Verdot)","中高","二级名庄(2nd G C C en 1855)",NA,NA
"173","0","598","8.5","0000","德国(Germany) 莱茵黑森(Rheinhessen)","100%雷司令(Riesling)","中","QbA","90","150"
"174","0","598","11.5","0000","德国(Germany) 莱茵黑森(Rheinhessen)","100%丹菲特(Dornfelder)","中高","QbA","100","95"
"175","383","62","12.5","0000","法国(France) 波尔多(Bordeaux)","卡本妮苏维翁(Cabernet Sauvignon)、梅洛(Merlot)、卡本妮弗朗克(Cabernet Franc)","中","波尔多法定产区 A.O.C","90","726"
"176","0","258","13.5","0000","法国(France) 波尔多(Bordeaux)","44%美乐(Merlot),50%赤霞珠(Cabernet Sauvignon),4%品丽珠(Cabernet Franc),2%小味多(Petit Verdot)","中高","上梅多克中级庄","80","7"
"177","0","49","13","  ","智利(Chile) 中央山谷(Central Valley)","赤霞珠(Cabernet Sauvignon),美乐(Merlot)","中高","智利优质酒庄","100","12"
"178","8","88","8","  ","意大利(Italy) 艾米利亚·罗马涅(Emillia Romagna)","85% Lambrusco Sorbara(朗布罗斯科),,15%匹诺莱托(Pignoletto)","中低","IGT","90","600"
"179","0","289","13","2010","法国(France) 波尔多(Bordeaux)","长相思(Sauvignon Blanc)、赛美蓉(Semillion)","中高","苏黛一级(Sauternes Premier Cru)","100","6"
"180","0","598","12.5","2013","法国(France) 薄若莱(Beaujolais)","100%佳美(Gamay)","中高","薄若莱大区级 A.O.C","80","150"
"181","6","169","8","0000","意大利(Italy) 艾米利亚·罗马涅(Emillia Romagna)","85% Lambrusco Sorbara(朗布罗斯科),,15%匹诺莱托(Pignoletto)","中低","IGT","90","418"
"182","0","46","13","2011","智利(Chile) 中央山谷(Central Valley)","赤霞珠(Cabernet Sauvignon),美乐(Merlot)","中低","智利优质酒庄","80","30"
"183","0","335","13","  ","法国(France) 波尔多(Bordeaux)","69%赤霞珠(Cabernet Sauvignon)、31%梅洛(Merlot)","中高","三级名庄3rd Growth of 1855 GCC","100","0"
"184","0","288","12.5","  ","意大利(Italy) 普利亚(Puglia)","100%灰比诺(Pinot Grigio)","中","IGT","100","25"
"185","0","198","12","2010","法国(France) 朗格多克鲁西荣(Languedoc Roussillon)","50%美乐(Merlot),50%赤霞珠(Cabernet Sauvignon)","中高","IGP","90","31"
"186","0","659","13","2007","法国(France) 波尔多(Bordeaux)","40%赤霞珠(Cabernet Sauvignon),60%美乐(Merlot)","中","AOC","90","8"
"187","0","588","13","2008","法国(France) 波尔多(Bordeaux)","46%赤霞珠(Cabernet Sauvignon),41%美乐(Merlot),13%品丽珠(Cabernet Franc)","中高","二级庄副牌","90","5"
"188","0","480","13.5","2007","法国(France) 波尔多(Bordeaux)","70%赤霞珠(Cabernet Sauvignon),25%美乐(Merlot),2%小味多(Petit Verdot),3%品丽珠(Cabernet Franc)","中","AOC","100","0"
"189","2","59","13.5","0000","法国(France) 罗纳河谷(Rhone Valley)","80%西拉/设拉子(Syrah/Shiraz),20%慕尔怀特(Mourvedre)","中","AOP","80","161"
"190","10","328","14","2010","西班牙(Spain) 里奥哈(Rioja)","100%丹魄(Tempranillo)","中","里奥哈 D.O.Ca.","90","63"
"191","11","249","13","0000","智利(Chile) 中央山谷(Central Valley)","100%赤霞珠(Cabernet Sauvignon)","中高","智利优质酒庄","90","1315"
"192","772","60",NA,"0000","法国(France) 波尔多(Bordeaux)","40%赤霞珠(Cabernet Sauvignon)、60%梅洛(merlot)","中","波尔多法定产区 A.O.C","90","1329"
"193","772","60",NA,"0000","法国(France) 波尔多(Bordeaux)","40%赤霞珠(Cabernet Sauvignon)、60%梅洛(merlot)","中","波尔多法定产区 A.O.C","90","1329"
"194","2","69","13","2012","法国(France) 波尔多(Bordeaux)","100%梅洛(Merlot)","中","波尔多AOC","100","2"
"195","0","49","13","2012","智利(Chile) 中央山谷(Central Valley)","佳美娜(Carmenere),赤霞珠(Cabernet Sauvignon)","中高","智利优质酒庄","80","552"
"196","4","179","12","0000","西班牙(Spain) 其他","丹魄(Tempranillo),歌海娜(Grenache/Granacha)","中高","西班牙地区餐酒","90","675"
"197","2","288","13","0000","法国(France) 朗格多克鲁西荣(Languedoc Roussillon)","60%歌海娜(Grenache)、30%佳丽酿(Carignan)、10%慕合怀特(Mourvedre)","中高","科比埃AOC Corbières ","90","541"
"198","0","65","10","  ","意大利(Italy) 威尼托(Veneto)","美乐(Merlot),拉宝索(Raboso)","中","VDT","80","14"
"199","0","65","10","  ","意大利(Italy) 威尼托(Veneto)","100%卡尔卡耐卡(Garganega)","中低","VDT","80","30"
"200","0","208","13","2011","智利(Chile) 中央山谷(Central Valley)","88%赤霞珠(Cabernet Sauvignon),4%佳美娜(Carmenere),3%佳丽酿(Carignan),2%西拉/设拉子(Syrah/Shiraz),2%小味多(Petit Verdot),1%阿利坎特布歇(Alicante Bouchet)","中","智利优质酒庄","100","0"
"201","0","208","13.5","2012","智利(Chile) 阿空加瓜大区(Aconcagua Regions)","100%黑皮诺(Pinot Noir)","中","智利优质酒庄","90","8"
"202","0","79","12","2013","南非(South Africa) 西开普产地(Western Cape)","长相思(Sauvignon Blanc)","中高","南非优质酒庄","80","9"
"203","1","79","12.5","2013","南非(South Africa) 西开普产地(Western Cape)","美乐(Merlot)","中高","南非优质酒庄","80","5"
"204","0","79","13","2012","南非(South Africa) 西开普产地(Western Cape)","西拉/设拉子(Syrah/Shiraz)","中高","南非优质酒庄","90","63"
"205","0","79","13.5","2012","南非(South Africa) 西开普产地(Western Cape)","赤霞珠(Cabernet Sauvignon),西拉/设拉子(Syrah/Shiraz)","中高","南非优质酒庄","100","13"
"206","0","79","13.5","2012","南非(South Africa) 西开普产地(Western Cape)","赤霞珠(Cabernet Sauvignon),美乐(Merlot)","中高","南非优质酒庄","80","12"
"207","0","88","13","2009","南非(South Africa) 西开普产地(Western Cape)","赤霞珠(Cabernet Sauvignon)","中高","南非优质酒庄","100","5"
"208","0","88","14","2009","南非(South Africa) 西开普产地(Western Cape)","美乐(Merlot)","中高","南非优质酒庄","90","11"
"209","0","89","14","2009","南非(South Africa) 西开普产地(Western Cape)","西拉/设拉子(Syrah/Shiraz)","中高","南非优质酒庄","80","13"
"210","0","88","14","2009","南非(South Africa) 西开普产地(Western Cape)","皮诺塔吉(Pinotage)","中高","南非优质酒庄","80","14"
"211","113","108","13","0000","新西兰(New Zealand) 马尔堡(Marlborough)","100%长相思(Sauvignon Blanc)","中低","新西兰优质酒庄","100","703"
"212","0","128","12","0000","法国(France) 朗格多克鲁西荣(Languedoc Roussillon)","100%霞多丽(Chardonnay)","中低","VDF","100","0"
"213","0","139","13","2011","西班牙(Spain) 瓦伦西亚(Valencia)","100%丹魄(Tempranillo)","中","瓦伦西亚法定地区餐酒","90","3"
"214","0","45","12","  ","法国(France) 朗格多克鲁西荣(Languedoc Roussillon)","赤霞珠(Cabernet Sauvignon),丹魄(Tempranillo)","中低","VDCE","80","27"
"215","1","109","14.5","2012","西班牙(Spain) 阿拉贡(Aragon)","100%歌海娜(Grenache/Granacha)","中高","西班牙VDT","100","116"
"216","0","80","14.5","2012","智利(Chile) 中央山谷(Central Valley)","100%佳美娜(Carmenere)","中","智利优质酒庄","100","23"
"217","1","120","12.5","2012","智利(Chile) 中央山谷(Central Valley)","100%霞多丽(Chardonnay)","中低","智利优质酒庄","100","15"
"218","0","198","12.5","0000","法国(France) 波尔多(Bordeaux)","赤霞珠(Cabernet Sauvignon),美乐(Merlot)","中高","AOC","100","20"
"219","1","419","14","0000","智利(Chile) 中央山谷(Central Valley)","100%马尔白Malbec","中高","智利优质酒庄","90","42"
"220","1","466","14.5","0000","智利(Chile) 中央山谷(Central Valley)","60%佳美娜(Carmenere)、40%赤霞珠(Cabernet Sauvignon)","重","智利优质酒庄","90","35"
"221","0","339","12.5","2011","法国(France) 波尔多(Bordeaux)","80%美乐(Merlot), 20%赤霞珠(Cabernet Sauvignon)","中高","波尔多法定产区A.O.C","90","39"
"222","0","387","8","0000","意大利(Italy) 艾米利亚·罗马涅(Emillia Romagna)","85% Lambrusco Sorbara(朗布罗斯科),,15%匹诺莱托(Pignoletto)","中低","IGT","100","0"
"223","0","178","12.5","2012","澳大利亚(Australia) 东南澳(South Eastern Australia)","赤霞珠(Cabernet Sauvignon),西拉/设拉子(Syrah/Shiraz)","重","  ","90","27"
"224","0","178","13.5","2012","澳大利亚(Australia) 东南澳(South Eastern Australia)","赤霞珠(Cabernet Sauvignon),美乐(Merlot)","重","  ","90","34"
"225","0","178","11.5","2012","澳大利亚(Australia) 东南澳(South Eastern Australia)","霞多丽(Chardonnay)","  ","  ","90","8"
"226","0","178","13","2012","澳大利亚(Australia) 东南澳(South Eastern Australia)","西拉/设拉子(Syrah/Shiraz)","  ","  ","90","81"
"227","0","168","12.5","  ","中国(China) 内蒙古(Nei Meng Gu)","100%黑皮诺(Pinot Noir)","中","优质国产葡萄酒","80","17"
"228","4","349","12.5","0000","法国(France) 波尔多(Bordeaux)","卡本妮苏维翁(Cabernet Sauvignon)、梅洛(Merlot)、卡本妮弗朗克(Cabernet Franc)","中","波尔多法定产区 A.O.C","90","248"
"229","1","69","12.5","0000","西班牙(Spain) 卡斯蒂利亚-拉曼恰(Castile-La Mancha)","蒙纳斯翠尔(Monastrell)","中","D.O.","80","332"
"230","0","49",NA,"  ","澳大利亚(Australia) 东南澳(South Eastern Australia)","100%麝香(Muscat/Moscato)","中低","  ","90","48"
"231","3","49","7.5","  ","澳大利亚(Australia) 东南澳(South Eastern Australia)","100%麝香(Muscat/Moscato)","中低","  ","90","51"
"232","0","239","12.5","0000","西班牙(Spain) 卡斯蒂利亚-拉曼恰(Castile-La Mancha)","蒙纳斯翠尔(Monastrell)","中","D.O.","90","39"
"233","0","564","12.5","0000","西班牙(Spain) 卡斯蒂利亚-拉曼恰(Castile-La Mancha)","蒙纳斯翠尔(Monastrell)","中","D.O.","100","53"
"234","0","38","12","0000","法国(France) 其他","40%美乐(Merlot),30%歌海娜(Grenache/Granacha)，30%佳丽酿(Carignan)","中","VDCE","80","4"
"235","0","149","12","2011","澳大利亚(Australia) 东南澳(South Eastern Australia)","白苏维翁、赛美蓉(Sauvignon Blanc/ Semillon)","中","澳大利亚优质酒庄","100","17"
"236","0","100",NA,"0000","其他 其他","  ","  ","  ","90","39"
"237","-3","128","14","  ","新西兰(New Zealand) 中奥塔哥(Central Otago)","100%黑皮诺(Pinot Noir)","中","新西兰优质酒庄","80","332"
"238","8","358","13","2011","法国(France) 波尔多(Bordeaux)","梅洛(Merlot)、赤霞珠（Cabernet Sauvignon)","中高","中级酒庄Cru Bourgeois","90","19"
"239","3","169","13","  ","法国(France) 波尔多(Bordeaux)","赤霞珠（Cabernet Sauvignon）、梅洛（Merlot）、味而多（Petit Verdot）、品丽珠（Cabernet Franc）","中高","中级酒庄Cru Bourgeois","80","31"
"240","0","498","14.5","2006","澳大利亚(Australia) 南澳(South Australia)","100%西拉/设拉子(Syrah/Shiraz)","重","澳大利亚优质酒庄","100","4"
"241","3","1548","12.5","0000","法国(France) 波尔多(Bordeaux)","90%梅洛(Merlot)、5%赤霞珠(Cabernet Sauvignon)、5%品丽珠(Carbernet Franc)","中高","波尔多法定产区 A.O.C","90","12"
"242","0","82","13","2012","美国(USA) 加州(California)","100%梅洛(Merlot)","中高","美国优质酒庄","90","130"
"243","0","589","13","2012","法国(France) 罗纳河谷(Rhone Valley)","100%希拉(Syrah)","中高","圣约瑟夫AOC","100","6"
"244","-4","59","12.5","0000","法国(France) 波尔多(Bordeaux)","美乐(Merlot),赤霞珠(Cabernet Sauvignon)","中","AOP","90","123"
"245","0","108","13","0000","澳大利亚(Australia) 南澳(South Australia)","95%西拉/设拉子(Syrah/Shiraz),5%杜瑞夫(Durif)","中高","  ","100","54"
"246","0","299","12","2011","法国(France) 波尔多(Bordeaux)","梅乐（Merlot）、嘉本纳沙威浓（Cabernet Sauvignon）、加本纳弗朗（Cabernet Franc）","中","波尔多法定产区酒","100","5"
"247","0","268","13","2012","西班牙(Spain) 里奥哈(Rioja)","100%丹魄(Tempranillo)","中","DOC","100","0"
"248","37","65",NA,"0000","意大利(Italy) 艾米利亚·罗马涅(Emillia Romagna)","100%马尔维萨(malvasia)","轻","DOC","90","381"
"249","0","288","12.5","0000","意大利(Italy) 托斯卡纳(Tuscany)","100%桑娇维塞(Sangiovese)","中","DOCG","90","2"
"250","1","228","15","2010","意大利(Italy) 托斯卡纳(Tuscany)","85%希拉（Syrah）,15%赤霞珠（Cabernet Sauvignon）","中高","托斯卡纳I.G.T","90","8"
"251","-1","289","12.5","0000","法国(France) 波尔多(Bordeaux)","美乐(Merlot),赤霞珠(Cabernet Sauvignon)","中","AOP","90","278"
"252","0","420","13.5","2011","美国(USA) 加州(California)","100%雪当利Chardonnay","中低","美国优质酒庄","80","1"
"253","0","754","14","2009","美国(USA) 加州(California)","83%梅乐Merlot、6%巴比拉Barbera，6%小华帝Petit Verdot，5%圣祖维斯Sangiovese","中","美国优质酒庄","100","3"
"254",NA,NA,"13.5","  ","澳大利亚(Australia) 东南澳(South Eastern Australia)","赤霞珠(Cabernet Sauvignon)，美乐(Merlot)","中高","  ",NA,NA
"255","14","640","13","0000","新西兰(New Zealand) 马尔堡(Marlborough)","100%长相思(Sauvignon Blanc)","中低","新西兰优质酒庄","90","104"
"256","-37137","38","12","0000","西班牙(Spain) 阿拉贡(Aragon)","100%丹魄(Tempranillo)","中","日常餐酒","80","402"
"257","89","39",NA,"0000","意大利(Italy) 艾米利亚·罗马涅(Emillia Romagna)","兰博鲁斯科(Lamb Rusch)","轻","IGT","90","670"
"258","0","228","11","  ","德国(Germany) 莱茵高(Rheingau)","施埃博(Scheurebe),米勒图高(Muller-Thurgau)","轻","德国优质酒庄","100","7"
"259","2","169","12.5","2012","法国(France) 普罗旺斯(Provence)","神索(Cinsault),歌海娜(Grenache),西拉(Syrah),罗尔(Rolle)","中","普罗旺斯丘AOC","90","25"
"260","1","188","12.5","0000","法国(France) 西南产区(Sud-Ouest)","60%美乐(Merlot),40%赤霞珠(Cabernet Sauvignon)","中高","AOC","80","6"
"261","3","259","12","2009","法国(France) 波尔多(Bordeaux)","70%赛美蓉(Semillon)、 20%品丽珠(Cabernet Franc) and 10%慕斯卡黛(Muscadelle)","中","AOC","90","11"
"262","211","68","12.5","0000","法国(France) 波尔多(Bordeaux)","60%美乐(Merlot),40%赤霞珠(Cabernet Sauvignon)","中高","AOC","90","265"
"263","18","89","14","2010","法国(France) 朗格多克鲁西荣(Languedoc Roussillon)","西拉/设拉子(Syrah/Shiraz),歌海娜(Grenache/Granacha),慕尔怀特(Mourvedre),佳丽酿(Carignan)","中高","AOC","100","44"
"264","20","89","13","0000","法国(France) 波尔多(Bordeaux)","赤霞珠(Cabernet Sauvignon),美乐(Merlot),品丽珠(Cabernet Franc)","中高","AOC","90","85"
"265","1","228","13","2007","法国(France) 波尔多(Bordeaux)","50%赤霞珠(Cabernet Sauvignon),43%美乐(Merlot),7%品丽珠(Cabernet Franc)","中高","AOC","100","8"
"266","11","98","7","  ","意大利(Italy) 其他","100%麝香葡萄(Moscato)","中","NV","90","111"
"267","0","275","11.5","  ","法国(France) 勃艮第(Burgundy)","100%爱人(Airen)","中低","法国餐酒","100","6"
"268","0","257","14","2013","智利(Chile) 中央山谷(Central Valley)","100%赤霞珠(Cabernet Sauvignon)","中","智利优质酒庄","90","7"
"269","0","158","13.5","0000","智利(Chile) 中央山谷(Central Valley)","100%赤霞珠(Cabernet Sauvignon)","中","智利优质酒庄","100","4"
"270","0","78","13.5","2011","法国(France) 波尔多(Bordeaux)","梅洛(Merlot)、赤霞珠(Cabernet Sauvignon)","中高","超级波尔多","100","81"
"271","0","128","12.5","2009","法国(France) 波尔多(Bordeaux)","65%美乐(Merlot)20%品丽珠(Cabernet Franc)15%赤霞珠(Cabernet Sauvignon)","中高","波尔多法定产区A.O.C","80","1"
"272","0","79",NA,"  ","澳大利亚(Australia) 南澳(South Australia)","  ","  ","  ","100","6"
"273","0","218",NA,"0000","澳大利亚(Australia) 南澳(South Australia)","  ","  ","  ","70","10"
"274","0","288","13","2012","法国(France) 波尔多(Bordeaux)","60%梅乐（ Merlot）和 30%赤霞珠（Cabernet Sauvignon）和 10%品丽珠（Cabernet Franc）","中","波尔多 A.O.C","100","0"
"275","85","39",NA,"  ","意大利(Italy) 艾米利亚·罗马涅(Emillia Romagna)","麝香(Muscat/Moscato),马尔瓦西(Malvasia)","轻","  ","90","293"
"276","0","168","12","  ","法国(France) 其他","梅洛(Merlot)、赤霞珠（Cabernet Sauvignon)、希拉(Syrah)","中","餐酒","90","281"
"277","0","119","13.5","0000","智利(Chile) 中央山谷(Central Valley)","100%西拉Syrah","中低","  ","90","15"
"278","0","526","14","2010","法国(France) 朗格多克鲁西荣(Languedoc Roussillon)","西拉/设拉子(Syrah/Shiraz),歌海娜(Grenache/Granacha),慕尔怀特(Mourvedre),佳丽酿(Carignan)","中高","AOC","90","21"
"279","6","398","12.5","0000","法国(France) 波尔多(Bordeaux)","60%美乐(Merlot),40%赤霞珠(Cabernet Sauvignon)","中高","AOC","100","47"
"280","6","89","12.5","0000","法国(France) 朗格多克鲁西荣(Languedoc Roussillon)","黑歌海娜（Grenache noir）   黑皮诺(Pinot Noir)","中","VDF","90","10"
"281","0","89","11.5","0000","法国(France) 西南产区(Sud-Ouest)","白玉霓/棠比内洛(Ugni Blanc/Trebbiano)鸽笼白(Colombard/Columber)","中低","VDF","80","5"
"282","0","69",NA,"0000","意大利(Italy) 艾米利亚·罗马涅(Emillia Romagna)","兰博鲁斯科(Lamb Rusch)","轻","IGT","90","75"
"283","0","728","13","2008","法国(France) 波尔多(Bordeaux)","美乐(Merlot),赤霞珠(Cabernet Sauvignon),小味多(Petit Verdot)","中高","1855列级庄2级","90","7"
"284","-1","75",NA,"0000","意大利(Italy) 艾米利亚·罗马涅(Emillia Romagna)","100%马尔维萨(malvasia)","重","DOC","90","310"
"285","77","998","12.5","2013","法国(France) 波尔多(Bordeaux)","73%美乐(Merlot),20%赤霞珠(Cabernet Sauvignon),7%品丽珠(Cabernet Franc)","中","AOC","90","452"
"286","20","368","12.5","2013","法国(France) 波尔多(Bordeaux)","77%赛美蓉(Semillon),19%长相思(Sauvignon Blanc),4%穆斯卡黛尔(Muscadelle)","中低","AOC","90","36"
"287","34","698","13","2012","法国(France) 波尔多(Bordeaux)","61%赤霞珠(Cabernet Sauvignon),39%美乐(Merlot)","中高","AOC","90","56"
"288","0","688","13.5","2011","法国(France) 波尔多(Bordeaux)","90%赛美蓉(Semillon),10%长相思(Sauvignon Blanc)","中高","AOC","90","27"
"289","0","218","13","2012","法国(France) 其他","100%梅洛(Merlot)","中","法国餐酒","80","114"
"290","0","218","13","2012","法国(France) 其他","100%赤霞珠(Cabernet Sauvignon)","中","法国餐酒","90","43"
"291","-1","218","12","2012","法国(France) 其他","100%西拉(Syrah)","中","法国餐酒","90","46"
"292","0","988","13","2007","法国(France) 波尔多(Bordeaux)","赤霞珠(Cabernet Sauvignon),品丽珠(Cabernet Franc),美乐(Merlot)","中高","圣爱美隆一级","90","10"
"293","0","1568","14.5","  ","法国(France) 波尔多(Bordeaux)","赤霞珠(Cabernet Sauvignon),美乐(Merlot),品丽珠(Cabernet Franc),小味多(Petit Verdot)","中高","1855一级庄副牌","100","0"
"294","0","258","0.12","  ","法国(France) 波尔多(Bordeaux)","75%梅洛(Merlot)25%赤霞珠(Cabernet Sauvignon)","中","波尔多 A.O.C","90","6"
"295","0","198","13","2012","法国(France) 波尔多(Bordeaux)","50%梅乐（Merlot）, 40%赤霞珠（ Cabernet Sauvignon）, 10%品丽珠（ Cabernet Franc）","中高","波尔多AOP","90","45"
"296","9","39","11","  ","法国(France) 朗格多克鲁西荣(Languedoc Roussillon)","梅洛(Merlot)赤霞珠(Cabernet Sauvignon)","中","欧盟餐酒(VDCE)","90","201"
"297","0","399","14","0000","智利(Chile) 中央山谷(Central Valley)","100%佳美娜(Carmenere)","中高","智利优质酒庄","90","15"
"298","0","216","13","高档PVC/细绒布/合木板","中国","100%长相思(Sauvignon Blanc)","中低","新西兰优质酒庄","100","0"
"299","0","439","13.5","2011","法国(France) 波尔多(Bordeaux)","梅洛(Merlot)、赤霞珠(Cabernet Sauvignon)","中高","超级波尔多","90","21"
"300","0","1445",NA,"  ","法国(France) 波尔多(Bordeaux)","  ","  ","波尔多梅多克1855分级列级酒庄之1级列庄副牌（2nd Label of 1st GCC en 1855）","100","0"
"301","0","360",NA,"  ","法国(France) 波尔多(Bordeaux)","赤霞珠(Cabernet Sauvignon)、梅洛(Merlot)、品丽珠(Cabernet Franc)、小维多(Petit Verdot)","  ","波尔多梅多克1855列级庄之3级庄","100","0"
"302","0","358",NA,"  ","法国(France) 波尔多(Bordeaux)","  ","  ","1855梅多克列级酒庄第四级","100","0"
"303","0","1268",NA,"  ","法国(France) 波尔多(Bordeaux)","  ","  ","圣艾美隆列特等（一等B级）","100","0"
"304","0","450",NA,"  ","法国(France) 波尔多(Bordeaux)","70%美乐(Merlot), 24%品丽珠(Cabernet Franc), 6%赤霞珠(Cabernet Sauvignon)","  ","圣艾美隆列级特等B級","100","1"
"305","0","66","13","  ","澳大利亚(Australia) 南澳(South Australia)","西拉/设拉子(Syrah/Shiraz)","中","澳大利亚优质酒庄","90","35"
"306","27","66","13","  ","澳大利亚(Australia) 南澳(South Australia)","美乐(Merlot)","中","澳大利亚优质酒庄","100","28"
"307","0","120","10","2012","德国(Germany) 莱茵黑森(Rheinhessen)","100%雷司令（Riesling)","中","德国优质半甜白葡萄酒","100","202"
"308","0","589","14","0000","西班牙(Spain) 穆尔西亚(Murcia)","85%慕尔韦度(Monastrell)、15%丹魄(Tempranillo)","中","Bullas D.O.P","100","11"
"309","0","128","8.5","2012","德国(Germany) 莱茵黑森(Rheinhessen)","100%雷根特(Regent)","中","Spatlese","90","16"
"310","0","149","13.5","0000","智利(Chile) 中央山谷(Central Valley)","100%西拉Syrah","中低","  ","90","9"
"311","0","158","7.5","  ","阿根廷(Argentina) 拉里奥哈(La Rioja)","100%莫斯卡托(Mostaco)","中","  ","100","24"
"312","1","419","14.5","0000","智利(Chile) 中央山谷(Central Valley)","85%美乐(Merlot)、15%赤霞珠(Cabernet Sauvignon)","中高","智利优质酒庄","90","44"
"313","14","619",NA,"0000","澳大利亚(Australia) 南澳(South Australia)","100%赤霞珠(Cabernet Sauvignon)","重","  ","90","24"
"314","0","89","12.5","2014","法国(France) 薄若莱(Beaujolais)","100%佳美(Gamay)","中","薄若莱村庄级A.O.C","90","121"
"315","0","316","13.5","0000","法国(France) 罗纳河谷(Rhone Valley)","80%西拉/设拉子(Syrah/Shiraz),20%慕尔怀特(Mourvedre)","中","AOP","100","90"
"316","0","708","14","0000","阿根廷(Argentina) 里奥内格罗(Rio Negro)","100%马尔贝克(Malbec)","中","阿根廷优质酒庄","80","12"
"317","0","788","12.5","2007","法国(France) 波尔多(Bordeaux)","赤霞珠(Cabernet Sauvignon),美乐(Merlot),品丽珠(Cabernet Franc),小味多(Petit Verdot)","中高","1855二级庄","90","2"
"318","0","499","13","2007","法国(France) 波尔多(Bordeaux)","赤霞珠(Cabernet Sauvignon),美乐(Merlot),品丽珠(Cabernet Franc)","中高","1855波尔多左岸四级","80","1"
"319","3","418","13.5","2008","法国(France) 波尔多(Bordeaux)","赤霞珠(Cabernet Sauvignon),美乐(Merlot),品丽珠(Cabernet Franc)","中高","1855波尔多左岸四级","90","9"
"320","1","109","13","2011","法国(France) 波尔多(Bordeaux)","85%梅洛(Merlot)、15%赤霞珠(Cabernet Sauvignon)","中","波尔多AOC","90","58"
"321","0","159","12","2011","法国(France) 波尔多(Bordeaux)","50%长相思(Sauvignon Blanc)、40%赛美蓉(Semillon)、10%莫斯卡托(Muscadelle)","中","波尔多AOC","90","15"
"322","3","318","12","2011","法国(France) 波尔多(Bordeaux)","85%赤霞珠，15%梅洛","中","波尔多AOC","90","7"
"323","0","456","13","0000","智利(Chile) 中央山谷(Central Valley)","100%赤霞珠(Cabernet Sauvignon)","中高","智利优质酒庄","90","6"
"324","14","66","13.7","2012","澳大利亚(Australia) 南澳(South Australia)","赤霞珠(Cabernet Sauvignon)","中","澳大利亚优质酒庄","90","24"
"325","0","388","13","2007","法国(France) 波尔多(Bordeaux)","赤霞珠(Cabernet Sauvignon),美乐(Merlot),品丽珠(Cabernet Franc),小味多(Petit Verdot)","中高","1855波尔多左岸四级","80","1"
"326","0","168","13","0000","法国(France) 波尔多(Bordeaux)","梅洛、赤霞珠、品丽珠","中","波尔多AOC","80","19"
"327","43","139","13","2013","法国(France) 朗格多克鲁西荣(Languedoc Roussillon)","65%霞多丽(Chardonnay)、35%维欧尼(Viognier)","中","IGP","100","21"
"328","18","139","12.5","2013","法国(France) 朗格多克鲁西荣(Languedoc Roussillon)","70%神索(Cinsault)、30%西拉(Syrah)","中","IGP","100","17"
"329","42","139","13","2013","法国(France) 朗格多克鲁西荣(Languedoc Roussillon)","70%西拉(Syrah)、30%歌海娜(Grenache)","中","IGP","90","56"
"330","18","139","13.5","2013","法国(France) 朗格多克鲁西荣(Languedoc Roussillon)","60%赤霞珠(Canernet Sauvignon)、40%西拉(Syrah)","中","IGP","90","75"
"331","1","320","13.5","2012","法国(France) 朗格多克鲁西荣(Languedoc Roussillon)","100%维欧尼(Viognier)","重","AOP","100","24"
"332","0","360","13.5","2013","法国(France) 朗格多克鲁西荣(Languedoc Roussillon)","100%西拉(Syrah)","重","IGP","100","27"
"333","0","199","14","2012","法国(France) 朗格多克鲁西荣(Languedoc Roussillon)","80%西拉(Syrah)、歌海娜(Grenache)","中","福热尔AOC Faugeres","90","26"
"334","2","228","13","2012","法国(France) 波尔多(Bordeaux)","90%梅洛、5%赤霞珠、5%品丽珠","中高","波尔多AOC","100","30"
"335","3","228","12","2013","法国(France) 波尔多(Bordeaux)","85%长相思(Sauvignon Blanc)、10%赛美蓉(Semillon)、5%莫斯卡托(Muscadelle)","中","波尔多AOC","90","25"
"336","0","367","13.5","0000","法国(France) 波尔多(Bordeaux)","100%梅洛(Merlot)","中高","超级波尔多法定产区 A.O.C","80","482"
"337","-1","239","13","2007","法国(France) 波尔多(Bordeaux)","赤霞珠(Cabernet Sauvignon), 梅洛(Merlot), 小伟度(Petit Verdot)","中","三级庄园副牌","100","0"
"338","0","996","13.5","2007","法国(France) 波尔多(Bordeaux)","赤霞珠(Cabernet Sauvignon), 梅洛(Merlot), 品丽珠(Cabernet Franc)","中","二级庄园","90","5"
"339","1","358","12.5","  ","法国(France) 香槟(Champagne)","25%莎当妮(Chardonnay)、35%黑皮诺(Pinot Noir)、20%莫妮皮诺(Pinot Meunier)、20%珍藏老酒(Reserve wines)","轻","香槟法定产区","100","0"
"340","0","387","8","0000","意大利(Italy) 艾米利亚·罗马涅(Emillia Romagna)","85% Lambrusco Sorbara(朗布罗斯科),,15%匹诺莱托(Pignoletto)","中低","IGT","90","22"
